,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
51,3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,16.99,13.48,1750.0,47654,642375.9200000195,215101.86999997526,37594.0,711369.0599999194,69072.13999999008,257032.07000000007,68993.1399998999,9.698642220946144,0.7888949511058883,1.1074030608119585
52,660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,10.49,7.19,1750.0,86887,624717.5300000095,143553.79000001788,67961.0,707835.8899999189,124865.63999998951,17932.329999999994,83118.35999990941,11.742603218370142,0.7821768503918883,1.1330495079910887
53,1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,8.99,6.03,1500.0,101547,612328.4100000054,126744.06000002695,75112.0,764484.8799999362,16880.650000000456,79528.99,152156.46999993082,19.903136606173756,0.7396771938117325,1.2484883397782074
54,3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,28.99,19.83,750.0,30830,611358.9000000008,126064.30000001125,24532.0,620243.6799999638,19319.78000000135,257032.07000000007,8884.779999963008,1.4324660268950302,0.7957184560493026,1.0145328382394745
55,3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,13.99,11.19,750.0,54552,610436.8800000268,185924.13999998634,37887.0,591790.1299999306,29829.11000000296,257032.07000000007,-18646.75000009616,-3.1509058794370812,0.6945116586009679,0.9694534347267889
56,1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,22.99,18.1,750.0,33715,610241.4999999967,233312.0499999716,24856.0,574044.4399999385,19571.770000002038,68601.68000000001,-36197.06000005826,-6.3056198227548625,0.7372386178258935,0.9406840406624943
57,12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,51.99,34.3,1750.0,17537,601519.0999999947,334787.59999996866,12293.0,627189.0699999554,22589.719999999812,123880.96999999999,25669.969999960624,4.092859909048232,0.7009750812567714,1.0426752367463656
58,4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,9.95,6.59,750.0,91140,600612.5999999961,98526.82999998271,77998.0,755367.3399999988,8761.720000000101,144929.24,154754.74000000267,20.48734857930221,0.8558042571867457,1.2576614942810118
59,6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,9.99,6.75,1500.0,88752,599076.0,128624.93000001852,66417.0,723512.1499999587,14926.040000000301,13605.409999999998,124436.1499999587,17.19890260308217,0.7483436992969172,1.2077134620648444
60,8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,45.99,33.33,750.0,17838,594540.5400000018,130062.37000000606,11443.0,549977.5699999891,9011.360000000075,48347.26,-44562.97000001266,-8.102688624194899,0.6414956833725755,0.9250463727839106
61,4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,23.99,16.54,1000.0,35922,594149.8799999933,192629.15999998857,25490.0,614693.0999999621,26764.49999999897,144929.24,20543.21999996889,3.3420287294537965,0.7095930070708758,1.0345758211715352
